rank_name,position,seat
ĐẠI BIỂU LÃNH ĐẠO BỘ QUỐC PHÒNG,,A1
THƯỢNG TƯỚNG PHẠM HOÀI NAM,THỨ TRƯỞNG BỘ QUỐC PHÒNG,A3
ĐẠI BIỂU THỦ TRƯỞNG BỘ TỔNG THAM MƯU,,A5
ĐẠI BIỂU THỦ TRƯỞNG TỔNG CỤC CHÍNH TRỊ,,A7
THƯỢNG TƯỚNG TRƯƠNG THIÊN TÔ,"PHÓ CN TỔNG CỤC CHÍNH TRỊ, NGUYÊN PHÓ CHÍNH UỶ QUÂN KHU",A9
TRUNG TƯỚNG LÊ NGỌC HẢI,TƯ LỆNH QUÂN KHU,A11
ĐẠI TÁ LƯƠNG ĐÌNH CHUNG,CHÍNH UỶ QUÂN KHU,A13
THIẾU TƯỚNG HỨA VĂN TƯỞNG,PHÓ TƯ LỆNH QUÂN KHU,A15
ĐẠI BIỂU LÃNH ĐẠO THÀNH ỦY ĐÀ NẴNG,,A17
ĐỒNG CHÍ THÁI ĐẠI NGỌC,"ỦY VIÊN BCHTW ĐẢNG, BÍ THƯ TỈNH ỦY GIA LAI",A19
ĐẠI BIỂU LÃNH ĐẠO TỈNH ỦY ĐĂK LĂK,,A21
ĐẠI BIỂU LÃNH ĐẠO TỈNH ỦY KHÁNH HÒA,,A23
ĐỒNG CHÍ LƯƠNG CƯỜNG ,CHỦ TỊCH NƯỚC CHXHCN VIỆT NAM,A2
ĐỒNG CHÍ NGUYỄN HOÀ BÌNH,PHÓ THỦ TƯỚNG THƯỜNG TRỰC CHÍNH PHỦ,A4
THƯỢNG TƯỚNG TRẦN QUANG PHƯƠNG,"PHÓ CHỦ TỊCH QUỐC HỘI, NGUYÊN CHÍNH UỶ QUÂN KHU",A6
THƯỢNG TƯỚNG HUỲNH NGỌC SƠN,"NGUYÊN PHÓ CHỦ TỊCH QUỐC HỘI, NGUYÊN TƯ LỆNH QUÂN KHU",A8
ĐẠI BIỂU MẸ VIỆT NAM ANH HÙNG,TRÊN ĐỊA BÀN QUÂN KHU,A10
ĐẠI BIỂU ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN,TRÊN ĐỊA BÀN QUÂN KHU,A12
THƯỢNG TƯỚNG NGUYỄN VĂN ĐƯỢC,"NGUYÊN THỨ TRƯỞNG BQP, NGUYÊN TƯ LỆNH QUÂN KHU",A14
THƯỢNG TƯỚNG LÊ CHIÊM,"NGUYÊN THỨ TRƯỞNG BQP, NGUYÊN TƯ LỆNH QUÂN KHU",A16
ĐẠI BIỂU TỔNG LÃNH SỰ QUÁN LIÊN BANG NGA,,A18
ĐẠI BIỂU TỔNG LÃNH SỰ QUÁN TRUNG QUỐC,,A20
ĐẠI BIỂU TỔNG LÃNH SỰ QUÁN NHẬT,,A22
ĐẠI BIỂU TỔNG LÃNH SỰ QUÁN LÀO,,A24
THƯ KÝ THỦ TRƯỞNG BQP,,B1
ĐẠI BIỂU THỦ TRƯỞNG TỔNG CỤC II,,B3
ĐẠI BIỂU THỦ TRƯỞNG TỔNG CỤC CNQP,,B5
ĐẠI BIỂU THỦ TRƯỞNG TỔNG CỤC HC-KT,,B7
TRUNG TƯỚNG NGUYỄN LONG CÁNG,NGUYÊN TƯ LỆNH QUÂN KHU,B9
TRUNG TƯỚNG NGUYỄN THÀNH ĐỨC,NGUYÊN CHÍNH ỦY QUÂN KHU,B11
ĐẠI TÁ PHAN ĐẠI NGHĨA,PHÓ TƯ LỆNH KIÊM TMT,B13
THIẾU TƯỚNG TRẦN THANH HẢI,PHÓ TƯ LỆNH QUÂN KHU,B15
ĐẠI BIỂU LÃNH ĐẠO THÀNH ỦY HUẾ,,B17
ĐẠI BIỂU LÃNH ĐẠO TỈNH ỦY LÂM ĐỒNG,,B19
ĐẠI BIỂU LÃNH ĐẠO TỈNH ỦY QUẢNG TRỊ,,B21
ĐẠI BIỂU LÃNH ĐẠO TỈNH ỦY QUẢNG NGÃI,,B23
THƯ KÝ CHỦ TỊCH NƯỚC,,B2
ĐẠI BIỂU VĂN PHÒNG QUÂN ỦY TRUNG ƯƠNG BQP,,B4
ĐẠI BIỂU ỦY BAN KIỂM TRA QUÂN ỦY TRUNG ƯƠNG,,B6
ĐẠI BIỂU TRUNG ƯƠNG HỘI CCB VIỆT NAM,,B8
BÀ TIẾP,PHU NHÂN TRUNG TƯỚNG ĐÀO DUY MINH,B12
TRUNG TƯỚNG NGUYỄN TRUNG THU,"NGUYÊN PHÓ TTMT QĐNDVN, NGUYÊN TƯ LỆNH QUÂN KHU",B14
THƯỢNG TƯỚNG VÕ TIẾN TRUNG,"NGUYÊN GIÁM ĐỐC HVQP, NGUYÊN PHÓ TƯ LỆNH QUÂN KHU",B16
ĐẠI BIỂU QUÂN KHU 1,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,B18
ĐẠI BIỂU QUÂN KHU 4,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,B20
ĐẠI BIỂU BỘ CHQS TỈNH SA LA VAN,QUÂN ĐỘI NHÂN DÂN LÀO,B22
ĐẠI BIỂU SƯ ĐOÀN 5,QUÂN ĐỘI NHÂN DÂN LÀO,B24
TRUNG TƯỚNG LÊ VĂN HOÀNG,"NGUYÊN CHÍNH ỦY TCHC, NGUYÊN PHÓ CHÍNH ỦY QUÂN KHU",C1
TRUNG TƯỚNG LÊ ANH THƠ,"NGUYÊN CHÍNH ỦY HVLQ, NGUYÊN PHÓ CHÍNH ỦY QUÂN KHU",C3
TRUNG TƯỚNG NGÔ QUÝ ĐỨC,"NGUYÊN CT CỤC CH-CN, NGUYÊN PHÓ TƯ LỆNH KIÊM TMT QUÂN KHU",C5
THIẾU TƯỚNG TRẦN CÔNG THỨC,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C7
TRUNG TƯỚNG NGUYỄN VĂN TUYÊN,"NGUYÊN PHÓ GIÁM ĐỐC HVQP, NGUYÊN PHÓ TƯ LỆNH-TMT QUÂN KHU",C9
TRUNG TƯỚNG TRỊNH ĐÌNH THẠCH,NGUYÊN CHÍNH ỦY QUÂN KHU,C11
ĐẠI TÁ TRẦN MINH TRỌNG,PHÓ CHÍNH ỦY QUÂN KHU,C13
THIẾU TƯỚNG NGUYỄN QUỐC HƯƠNG,PHÓ TƯ LỆNH QUÂN KHU,C15
THIẾU TƯỚNG CAO PHI HÙNG,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C17
THIẾU TƯỚNG TRẦN NGỌC YẾN,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C19
THIẾU TƯỚNG NGUYỄN TRỌNG HUY,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C21
THIẾU TƯỚNG ĐOÀN KIỂU,NGUYÊN PHÓ TƯ LỆNH QUÂN KHU,C23
ĐẠI BIỂU BỘ TƯ LỆNH QUÂN KHU THỦ ĐÔ,,C12
ĐẠI BIỂU ANH HÙNG LỰC LƯỢNG VŨ TRANG NHÂN DÂN,TRÊN ĐỊA BÀN QUÂN KHU,C14
TRUNG TƯỚNG TRẦN PHƯỚC TỚI,"NGUYÊN PHÓ VT VIỆN KSND TỐI CAO, NGUYÊN VT VKS QSQK",C16
ĐẠI BIỂU TIỂU KHU QUÂN SỰ RATTANAKIRI,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,C18
ĐẠI BIỂU TIỂU KHU QUÂN SỰ MULĐÔKIRI,QUÂN ĐỘI HOÀNG GIA CAMPUCHIA,C20
